Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,City
Brighton,47.5388,-122.275672951,Tortas Locas,47.53660278945942,-122.27385057432647,Mexican Restaurant,Seattle
Brighton,47.5388,-122.275672951,Zest Fast Food,47.538777,-122.27100800000001,Fast Food Restaurant,Seattle
Brighton,47.5388,-122.275672951,Safeway,47.5374346,-122.2830543,Grocery Store,Seattle
Brighton,47.5388,-122.275672951,Phnom Penh Market,47.53783,-122.281957,Grocery Store,Seattle
Brighton,47.5388,-122.275672951,Amazing Thai Lao Cuisine,47.541653,-122.283636,Thai Restaurant,Seattle
Brighton,47.5388,-122.275672951,Thai Palms,47.541942999999996,-122.283927,Thai Restaurant,Seattle
Brighton,47.5388,-122.275672951,Thai Savon,47.541942999999996,-122.283927,Asian Restaurant,Seattle
Brighton,47.5388,-122.275672951,May Hair Design,47.545511,-122.274874,Salon / Barbershop,Seattle
Brighton,47.5388,-122.275672951,RHF Crossfit,47.532965093820756,-122.26982513664876,Gym / Fitness Center,Seattle
Whittier Heights,47.6833,-122.37140703700001,Un Bien,47.68163662900125,-122.37663719087422,Caribbean Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Frankie & Jo’s,47.67952771129339,-122.37459443715365,Ice Cream Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Delancey,47.67954593341448,-122.37476960718206,Pizza Place,Seattle
Whittier Heights,47.6833,-122.37140703700001,The Fat Hen,47.67959362101355,-122.37453550782013,Breakfast Spot,Seattle
Whittier Heights,47.6833,-122.37140703700001,Essex,47.679485575063595,-122.37489114357932,Cocktail Bar,Seattle
Whittier Heights,47.6833,-122.37140703700001,Rosellini's,47.67952480918485,-122.37472955938681,Bakery,Seattle
Whittier Heights,47.6833,-122.37140703700001,The Dane,47.68695002889187,-122.37653933717229,Beer Bar,Seattle
Whittier Heights,47.6833,-122.37140703700001,Take 5 Urban Market,47.67943349680548,-122.36629324553395,Deli / Bodega,Seattle
Whittier Heights,47.6833,-122.37140703700001,Viet Nam Restaurant,47.68074174164696,-122.3765923409503,Vietnamese Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Thai Siam Restaurant,47.688729826242344,-122.37683628845578,Thai Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Wild Mountain Cafe,47.69077875358802,-122.37455876932466,American Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Chuck's Hop Shop,47.69078442791863,-122.36586235507566,Beer Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Scandinavian Specialties,47.67819841284109,-122.3768823771262,Scandinavian Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Top Banana,47.67615878335164,-122.37723503043935,Farmers Market,Seattle
Whittier Heights,47.6833,-122.37140703700001,Grumpy D's,47.67956170698513,-122.37688978488912,Coffee Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Four Spoons Cafe,47.69077673994059,-122.3673859768689,Breakfast Spot,Seattle
Whittier Heights,47.6833,-122.37140703700001,Crown Hill Broiler,47.687647,-122.377145,Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Salmon Bay Park,47.67918224152669,-122.38126445349697,Park,Seattle
Whittier Heights,47.6833,-122.37140703700001,Kirke Park,47.68013059275492,-122.36811954119197,Park,Seattle
Whittier Heights,47.6833,-122.37140703700001,Joli,47.676146,-122.364193,French Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Mainstay Provisions,47.676078,-122.364349,Café,Seattle
Whittier Heights,47.6833,-122.37140703700001,Ballard High School,47.67701977664608,-122.37496535593321,High School,Seattle
Whittier Heights,47.6833,-122.37140703700001,Ballard Community Pool,47.67729548327747,-122.3767510025773,Pool,Seattle
Whittier Heights,47.6833,-122.37140703700001,Seattle Tile Company,47.6856,-122.376385,Furniture / Home Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,The Dray,47.67605794165895,-122.36500008452452,Gastropub,Seattle
Whittier Heights,47.6833,-122.37140703700001,Herbs House - RECREATIONAL MARIJUANA STORE,47.676147026297805,-122.36543862894221,Marijuana Dispensary,Seattle
Whittier Heights,47.6833,-122.37140703700001,Ballard Blossom,47.690415,-122.370998,Flower Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Barking Dog Alehouse,47.679543202196754,-122.36490951689106,Pub,Seattle
Whittier Heights,47.6833,-122.37140703700001,Ballard CrossFit,47.67523884983638,-122.37627015301847,Gym,Seattle
Whittier Heights,47.6833,-122.37140703700001,Loyal Heights Playfield,47.68394595160837,-122.38308775351594,Soccer Field,Seattle
Whittier Heights,47.6833,-122.37140703700001,The Blue Glass,47.67602584843713,-122.36498037963987,Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Pagliacci Pizza,47.690556829961494,-122.36725750336872,Pizza Place,Seattle
Whittier Heights,47.6833,-122.37140703700001,Choice Deli & Grocery,47.67597963639778,-122.36595452867935,Deli / Bodega,Seattle
Whittier Heights,47.6833,-122.37140703700001,El Taco Loco,47.6868573864075,-122.37678172711637,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,The Sneakery,47.676048311965,-122.3641242850573,Shoe Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Snout & Co,47.691099623465966,-122.36592068388994,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,Waterwheel Lounge,47.68056627268515,-122.3763768307792,Karaoke Bar,Seattle
Whittier Heights,47.6833,-122.37140703700001,Mae Ploy Thai Cuisine,47.67575580800507,-122.37644299115809,Thai Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Starbucks,47.69064248939866,-122.37622307975559,Coffee Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Kasbah Authentic Moroccan Restaurant,47.690435847444284,-122.37560362401717,Moroccan Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,BaBaLouise Salon,47.67605823006631,-122.36428134732479,Cosmetics Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Budget Truck Rental,47.685379,-122.376353,Rental Car Location,Seattle
Whittier Heights,47.6833,-122.37140703700001,Thunderbird Tavern,47.683719080025554,-122.37702409468814,Bar,Seattle
Whittier Heights,47.6833,-122.37140703700001,6th Avenue NW Pocket Park,47.684326623844434,-122.36309802822456,Park,Seattle
Whittier Heights,47.6833,-122.37140703700001,Jumpin' Jimmy's,47.67604836800616,-122.37678099630381,Coffee Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,T-Mobile,47.69035967252659,-122.3772384538097,Mobile Phone Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Lamplighter Public House,47.69075823205053,-122.3668592970703,Pub,Seattle
Whittier Heights,47.6833,-122.37140703700001,Goofy's,47.69119697746413,-122.37710417024498,Rock Club,Seattle
Whittier Heights,47.6833,-122.37140703700001,Restaurante Michoacan,47.68916371617499,-122.37726149181783,Mexican Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Value Village,47.69138896338658,-122.37650541860151,Thrift / Vintage Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Walgreens,47.690825457161395,-122.37633367320086,Pharmacy,Seattle
Whittier Heights,47.6833,-122.37140703700001,Domino's Pizza,47.690144849154,-122.37710058689117,Pizza Place,Seattle
Whittier Heights,47.6833,-122.37140703700001,Shell,47.69084942479245,-122.36641272510164,Gas Station,Seattle
Whittier Heights,47.6833,-122.37140703700001,Rizzo's French Dip,47.682431,-122.376392,Sandwich Place,Seattle
Whittier Heights,47.6833,-122.37140703700001,Safeway,47.690136972181044,-122.37658754296801,Grocery Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,FedEx Office Print & Ship Center,47.690056,-122.377094,Shipping Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Wonderland Gear Exchange,47.686576,-122.376446,Outdoor Supply Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Love Zone,47.686457626306115,-122.37661339223001,Lingerie Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Shell,47.679331122560484,-122.3771512682184,Gas Station,Seattle
Whittier Heights,47.6833,-122.37140703700001,The People's Burger,47.68411474417614,-122.37915259758593,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,Joe's Mini Mart,47.67939,-122.377021,Convenience Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Caravan Crepes,47.68695758715126,-122.3654048565383,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,Ballard Massage Center,47.678925,-122.37644099999999,Massage Studio,Seattle
Whittier Heights,47.6833,-122.37140703700001,Chuck McFarland - State Farm Insurance Agent,47.67947805158195,-122.36488059782805,Insurance Office,Seattle
Whittier Heights,47.6833,-122.37140703700001,NW Community Yoga,47.67947476541456,-122.36482286878062,Yoga Studio,Seattle
Whittier Heights,47.6833,-122.37140703700001,King County Metro stop #28140 S/B (8th Ave NW & 70th),47.67946305861497,-122.36484078959857,Bus Station,Seattle
Whittier Heights,47.6833,-122.37140703700001,Dog's Day Out,47.678709000000005,-122.377052,Pet Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Avast! Recording Co.,47.686728,-122.3636,Recording Studio,Seattle
Whittier Heights,47.6833,-122.37140703700001,LoLo Spa & Event Space,47.677853,-122.37669,Spa,Seattle
Whittier Heights,47.6833,-122.37140703700001,Molly Maguire's Pub & Fine Eatery,47.67603620162735,-122.36409096793992,Irish Pub,Seattle
Whittier Heights,47.6833,-122.37140703700001,Baker Park on Crown Hill,47.69013167374294,-122.37466373405262,Park,Seattle
Whittier Heights,47.6833,-122.37140703700001,The Mailbox,47.69042333758021,-122.3686931621301,Shipping Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Turntables and Trails,47.689616,-122.36576200000002,Electronics Store,Seattle
Whittier Heights,47.6833,-122.37140703700001,Atlas Coffee Importers,47.69055586325896,-122.37372506316362,Coffee Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Crown Hill Liqour And Wine,47.690753,-122.370761,Deli / Bodega,Seattle
Whittier Heights,47.6833,-122.37140703700001,Kiss My Grits,47.69065426552181,-122.36762111611947,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,Metro Stop #13600,47.69016567612462,-122.37684300197928,Bus Station,Seattle
Whittier Heights,47.6833,-122.37140703700001,Metro stop #35600,47.69050598144531,-122.37618255615234,Bus Stop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Walk Around The Block,47.681293,-122.382831,Athletics & Sports,Seattle
Whittier Heights,47.6833,-122.37140703700001,Metro Bus Stop #13670,47.676140488772674,-122.37663495310527,Bus Station,Seattle
Whittier Heights,47.6833,-122.37140703700001,NW 65th st and 8th,47.67608775120533,-122.36605870411577,Intersection,Seattle
Whittier Heights,47.6833,-122.37140703700001,15th Ave NW And NW 85th St. Bus Stop,47.6903179869704,-122.37735104669075,Bus Stop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Teriyaki First,47.690763,-122.366655,Asian Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Salmon Bay Soccer Fields,47.678161304842305,-122.38077284846871,Soccer Field,Seattle
Whittier Heights,47.6833,-122.37140703700001,Teriyaki 1st,47.690877133371025,-122.36669251463886,Asian Restaurant,Seattle
Whittier Heights,47.6833,-122.37140703700001,Mangia Me,47.690717149783694,-122.3660284622371,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,Sunny Up,47.69076382338194,-122.36594849513025,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,Burger Planet,47.6907440423131,-122.36585826106877,Food Truck,Seattle
Whittier Heights,47.6833,-122.37140703700001,Walt's Auto Care Center Ballard,47.675548,-122.37664099999999,Automotive Shop,Seattle
Whittier Heights,47.6833,-122.37140703700001,Eyes on the City - West,47.67582,-122.364222,Optical Shop,Seattle
Windermere,47.6701,-122.262674865,Pagliacci Pizza,47.67419667831313,-122.26493798080658,Pizza Place,Seattle
Windermere,47.6701,-122.262674865,Chase Bank,47.668038,-122.274345,Bank,Seattle
Windermere,47.6701,-122.262674865,Athena's Food Truck,47.67479629523944,-122.26126897091918,Greek Restaurant,Seattle
Windermere,47.6701,-122.262674865,Windermere Park,47.665726150209295,-122.26675945212301,Beach,Seattle
Windermere,47.6701,-122.262674865,Jeff's Auto Repair,47.66809073,-122.27357625,Auto Workshop,Seattle
Windermere,47.6701,-122.262674865,Magnuson Baseball Field #9,47.677514,-122.259592,Park,Seattle
Windermere,47.6701,-122.262674865,Burke Gilman Trail,47.67824917308929,-122.26396412390002,Trail,Seattle
Windermere,47.6701,-122.262674865,Magnuson Park Field #3,47.678479397517,-122.26045176388517,Soccer Field,Seattle
Loyal Heights,47.6832,-122.384868675,Cafe Munir,47.68690805359445,-122.38799637355696,Middle Eastern Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,Un Bien,47.68163662900125,-122.37663719087422,Caribbean Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,Loyal Heights Playfield,47.68394595160837,-122.38308775351594,Soccer Field,Seattle
Loyal Heights,47.6832,-122.384868675,Salmon Bay Park,47.67918224152669,-122.38126445349697,Park,Seattle
Loyal Heights,47.6832,-122.384868675,Mabel Coffee,47.6796498,-122.3879238,Coffee Shop,Seattle
Loyal Heights,47.6832,-122.384868675,The Dane,47.68695002889187,-122.37653933717229,Beer Bar,Seattle
Loyal Heights,47.6832,-122.384868675,Fresh Fish Company,47.68688775263134,-122.38723618613751,Fish Market,Seattle
Loyal Heights,47.6832,-122.384868675,Larsen's Bakery,47.68680429086032,-122.38752398755355,Bakery,Seattle
Loyal Heights,47.6832,-122.384868675,Delancey,47.67954593341448,-122.37476960718206,Pizza Place,Seattle
Loyal Heights,47.6832,-122.384868675,Frankie & Jo’s,47.67952771129339,-122.37459443715365,Ice Cream Shop,Seattle
Loyal Heights,47.6832,-122.384868675,Copine,47.67574136749478,-122.38740432867978,French Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,The Fat Hen,47.67959362101355,-122.37453550782013,Breakfast Spot,Seattle
Loyal Heights,47.6832,-122.384868675,Essex,47.679485575063595,-122.37489114357932,Cocktail Bar,Seattle
Loyal Heights,47.6832,-122.384868675,Rosellini's,47.67952480918485,-122.37472955938681,Bakery,Seattle
Loyal Heights,47.6832,-122.384868675,Thai Siam Restaurant,47.688729826242344,-122.37683628845578,Thai Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,Viet Nam Restaurant,47.68074174164696,-122.3765923409503,Vietnamese Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,Top Banana,47.67615878335164,-122.37723503043935,Farmers Market,Seattle
Loyal Heights,47.6832,-122.384868675,Scandinavian Specialties,47.67819841284109,-122.3768823771262,Scandinavian Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,Baleen,47.675779,-122.38191,Jewelry Store,Seattle
Loyal Heights,47.6832,-122.384868675,Ballard Boys & Girls Club,47.67511980575124,-122.38179335868318,Baseball Field,Seattle
Loyal Heights,47.6832,-122.384868675,Grumpy D's,47.67956170698513,-122.37688978488912,Coffee Shop,Seattle
Loyal Heights,47.6832,-122.384868675,Olaf's,47.67471181910651,-122.38781490780408,Bar,Seattle
Loyal Heights,47.6832,-122.384868675,Crown Hill Broiler,47.687647,-122.377145,Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,Ballard Community Pool,47.67729548327747,-122.3767510025773,Pool,Seattle
Loyal Heights,47.6832,-122.384868675,Seattle Tile Company,47.6856,-122.376385,Furniture / Home Store,Seattle
Loyal Heights,47.6832,-122.384868675,El Taco Loco,47.6868573864075,-122.37678172711637,Food Truck,Seattle
Loyal Heights,47.6832,-122.384868675,Saleh's Delicatessen,47.68670232183992,-122.3879181997279,Convenience Store,Seattle
Loyal Heights,47.6832,-122.384868675,Waterwheel Lounge,47.68056627268515,-122.3763768307792,Karaoke Bar,Seattle
Loyal Heights,47.6832,-122.384868675,Budget Truck Rental,47.685379,-122.376353,Rental Car Location,Seattle
Loyal Heights,47.6832,-122.384868675,Soprano's Pizza & Pasta,47.68594818194729,-122.38779099882282,Pizza Place,Seattle
Loyal Heights,47.6832,-122.384868675,Thunderbird Tavern,47.683719080025554,-122.37702409468814,Bar,Seattle
Loyal Heights,47.6832,-122.384868675,Jumpin' Jimmy's,47.67604836800616,-122.37678099630381,Coffee Shop,Seattle
Loyal Heights,47.6832,-122.384868675,T-Mobile,47.69035967252659,-122.3772384538097,Mobile Phone Shop,Seattle
Loyal Heights,47.6832,-122.384868675,Restaurante Michoacan,47.68916371617499,-122.37726149181783,Mexican Restaurant,Seattle
Loyal Heights,47.6832,-122.384868675,Walk Around The Block,47.681293,-122.382831,Athletics & Sports,Seattle
Loyal Heights,47.6832,-122.384868675,The People's Burger,47.68411474417614,-122.37915259758593,Food Truck,Seattle
Loyal Heights,47.6832,-122.384868675,La Copa Cafe,47.686817,-122.38791,Coffee Shop,Seattle
Loyal Heights,47.6832,-122.384868675,Domino's Pizza,47.690144849154,-122.37710058689117,Pizza Place,Seattle
Loyal Heights,47.6832,-122.384868675,Academy of Music and Dance,47.6870129,-122.3878967,General College & University,Seattle
Loyal Heights,47.6832,-122.384868675,KC Metro Bus Stop 19300,47.679161412182054,-122.38758738919972,Bus Stop,Seattle
Loyal Heights,47.6832,-122.384868675,FedEx Office Print & Ship Center,47.690056,-122.377094,Shipping Store,Seattle
Loyal Heights,47.6832,-122.384868675,Safeway,47.690136972181044,-122.37658754296801,Grocery Store,Seattle
Loyal Heights,47.6832,-122.384868675,Salmon Bay Soccer Fields,47.678161304842305,-122.38077284846871,Soccer Field,Seattle
Loyal Heights,47.6832,-122.384868675,Rizzo's French Dip,47.682431,-122.376392,Sandwich Place,Seattle
Loyal Heights,47.6832,-122.384868675,Shell,47.679331122560484,-122.3771512682184,Gas Station,Seattle
Loyal Heights,47.6832,-122.384868675,Love Zone,47.686457626306115,-122.37661339223001,Lingerie Store,Seattle
Loyal Heights,47.6832,-122.384868675,Joe's Mini Mart,47.67939,-122.377021,Convenience Store,Seattle
Loyal Heights,47.6832,-122.384868675,Wonderland Gear Exchange,47.686576,-122.376446,Outdoor Supply Store,Seattle
Loyal Heights,47.6832,-122.384868675,Ballard Public Green Market,47.67550152315464,-122.38744951780252,Food & Drink Shop,Seattle
Loyal Heights,47.6832,-122.384868675,15th Ave NW And NW 85th St. Bus Stop,47.6903179869704,-122.37735104669075,Bus Stop,Seattle
Loyal Heights,47.6832,-122.384868675,Metro Bus Stop #13670,47.676140488772674,-122.37663495310527,Bus Station,Seattle
North Beach,47.6961,-122.396153555,Golden Gardens Park Waterfront,47.691586954296554,-122.4038082353192,Beach,Seattle
North Beach,47.6961,-122.396153555,Golden Gardens Park,47.69058264501714,-122.40329577588459,Beach,Seattle
North Beach,47.6961,-122.396153555,Golden Gardens Off-Leash Dog Park,47.69102157197945,-122.40045167990198,Dog Run,Seattle
North Beach,47.6961,-122.396153555,Cocina Esperanza,47.69044689758142,-122.39799175302446,Mexican Restaurant,Seattle
North Beach,47.6961,-122.396153555,Blue Ridge Beach Park,47.699010840418694,-122.39413534498136,Beach,Seattle
North Beach,47.6961,-122.396153555,The Old Tree,47.695655,-122.402803,Trail,Seattle
North Beach,47.6961,-122.396153555,Fiore,47.690414,-122.398022,Coffee Shop,Seattle
North Beach,47.6961,-122.396153555,North Beach Park,47.694528948709,-122.38750060973493,Park,Seattle
North Beach,47.6961,-122.396153555,North Bench At Golden Gardens,47.69436400981302,-122.40476506729107,Beach,Seattle
North Beach,47.6961,-122.396153555,Ballard Food Bank Turkey Trot,47.69014444431009,-122.39815819428026,Athletics & Sports,Seattle
North Beach,47.6961,-122.396153555,Gardener Bamboo,47.691113,-122.390775,Food,Seattle
North Beach,47.6961,-122.396153555,Golden Gardens Staircase,47.690454071768016,-122.40002674480334,Park,Seattle
North Beach,47.6961,-122.396153555,Pirate Playground at Golden Gardens,47.69182073633717,-122.40352020864144,Playground,Seattle
North Beach,47.6961,-122.396153555,Golden Gardens Hiking Trails,47.69002321792795,-122.40017816221459,Trail,Seattle
North Beach,47.6961,-122.396153555,Golden Gardens Park Bathhouse,47.69174895973849,-122.40387284651709,Plaza,Seattle
North Beach,47.6961,-122.396153555,Miri’s At Golden Gardens,47.691537,-122.403877,Kebab Restaurant,Seattle
Roosevelt,47.6772,-122.31619618799999,The Atlantic Crossing,47.676122997638885,-122.31735756483012,Pub,Seattle
Roosevelt,47.6772,-122.31619618799999,Whole Foods Market,47.67501855519455,-122.31603903975098,Grocery Store,Seattle
Roosevelt,47.6772,-122.31619618799999,Rain City Burgers,47.67591887356828,-122.31740159525395,Burger Joint,Seattle
Roosevelt,47.6772,-122.31619618799999,Broadcast Coffee,47.67624187558279,-122.31750786463931,Coffee Shop,Seattle
Roosevelt,47.6772,-122.31619618799999,Shefayoga,47.67632298618138,-122.3175088493064,Yoga Studio,Seattle
Roosevelt,47.6772,-122.31619618799999,Wayward Vegan Cafe,47.67580514146781,-122.31997004580023,Vegetarian / Vegan Restaurant,Seattle
Roosevelt,47.6772,-122.31619618799999,Caruh Salon & Spa,47.675773336350524,-122.3175977912501,Salon / Barbershop,Seattle
Roosevelt,47.6772,-122.31619618799999,Hawthorne Stereo,47.67434633358269,-122.31739310183241,Electronics Store,Seattle
Roosevelt,47.6772,-122.31619618799999,Next Level Burger,47.67498425244126,-122.31604802555934,Burger Joint,Seattle
